Year,seaLevel
2014,0
2015,0.003
2016,0.006
2017,0.009
2018,0.012
2019,0.015
2020,0.018
2021,0.021
2022,0.024
2023,0.027
2024,0.03
2025,0.033
2026,0.036
2027,0.039
2028,0.042
2029,0.045
2030,0.048
2031,0.051
2032,0.054
2033,0.057
2034,0.06
2035,0.063
2036,0.066
2037,0.069
2038,0.072
2039,0.075
2040,0.078
2041,0.081
2042,0.084
2043,0.087
2044,0.09
2045,0.093
2046,0.096
2047,0.099
2048,0.102
2049,0.105
2050,0.108
2051,0.111
2052,0.114
2053,0.117
2054,0.12
2055,0.123
2056,0.126
2057,0.129
2058,0.132
2059,0.135
2060,0.138
2061,0.141
2062,0.144
2063,0.147
2064,0.15
2065,0.153
2066,0.156
2067,0.159
2068,0.162
2069,0.165
2070,0.168
2071,0.171
2072,0.174
2073,0.177
2074,0.18
2075,0.183
2076,0.186
2077,0.189
2078,0.192
2079,0.195
2080,0.198
2081,0.201
2082,0.204
2083,0.207
2084,0.21
2085,0.213
2086,0.216
2087,0.219
2088,0.222
2089,0.225
2090,0.228
2091,0.231
2092,0.234
2093,0.237
2094,0.24
2095,0.243
2096,0.246
2097,0.249
2098,0.252
2099,0.255
2100,0.258
2101,0.261
2102,0.264
2103,0.267
2104,0.27
2105,0.273
2106,0.276
2107,0.279
2108,0.282
2109,0.285
2110,0.288
2111,0.291
2112,0.294
2113,0.297
2114,0.3
2115,0.303
2116,0.306
2117,0.309
2118,0.312
2119,0.315
2120,0.318
2121,0.321
2122,0.324
2123,0.327
2124,0.33
2125,0.333
2126,0.336
2127,0.339
2128,0.342
2129,0.345
2130,0.348
2131,0.351
2132,0.354
2133,0.357
2134,0.36
2135,0.363
2136,0.366
2137,0.369
2138,0.372
2139,0.375
2140,0.378
2141,0.381
2142,0.384
2143,0.387
2144,0.39
2145,0.393
2146,0.396
2147,0.399
2148,0.402
2149,0.405
2150,0.408
2151,0.411
2152,0.414
2153,0.417
2154,0.42
2155,0.423
2156,0.426
2157,0.429
2158,0.432
2159,0.435
2160,0.438
2161,0.441
2162,0.444
2163,0.447
2164,0.45
2165,0.453
2166,0.456
2167,0.459
2168,0.462
2169,0.465
2170,0.468
2171,0.471
2172,0.474
2173,0.477
2174,0.48
2175,0.483
2176,0.486
2177,0.489
2178,0.492
2179,0.495
2180,0.498
2181,0.501
2182,0.504
2183,0.507
2184,0.51
2185,0.513
2186,0.516
2187,0.519
2188,0.522
2189,0.525
2190,0.528
2191,0.531
2192,0.534
2193,0.537
2194,0.54
2195,0.543
2196,0.546
2197,0.549
2198,0.552
2199,0.555
2200,0.558
2201,0.561
2202,0.564
2203,0.567
2204,0.57
2205,0.573
2206,0.576
2207,0.579
2208,0.582
2209,0.585
2210,0.588
2211,0.591
2212,0.594
2213,0.597
2214,0.6
2215,0.603
2216,0.606
2217,0.609
2218,0.612
2219,0.615
2220,0.618
2221,0.621
2222,0.624
2223,0.627
2224,0.63
2225,0.633
2226,0.636
2227,0.639
2228,0.642
2229,0.645
2230,0.648
2231,0.651
2232,0.654
2233,0.657
2234,0.66
2235,0.663
2236,0.666
2237,0.669
2238,0.672
2239,0.675
2240,0.678
2241,0.681
2242,0.684
2243,0.687
2244,0.69
2245,0.693
2246,0.696
2247,0.699
2248,0.702
2249,0.705
2250,0.708
2251,0.711
2252,0.714
2253,0.717
2254,0.72
2255,0.723
2256,0.726
2257,0.729
2258,0.732
2259,0.735
2260,0.738
2261,0.741
2262,0.744
2263,0.747
2264,0.75
2265,0.753
2266,0.756
2267,0.759
2268,0.762
2269,0.765
2270,0.768
2271,0.771
2272,0.774
2273,0.777
2274,0.78
2275,0.783
2276,0.786
2277,0.789
2278,0.792
2279,0.795
2280,0.798
2281,0.801
2282,0.804
2283,0.807
2284,0.81
2285,0.813
2286,0.816
2287,0.819
2288,0.822
2289,0.825
2290,0.828
2291,0.831
2292,0.834
2293,0.837
2294,0.84
2295,0.843
2296,0.846
2297,0.849
2298,0.852
2299,0.855
2300,0.858
2301,0.861
2302,0.864
2303,0.867
2304,0.87
2305,0.873
2306,0.876
2307,0.879
2308,0.882
2309,0.885
2310,0.888
2311,0.891
2312,0.894
2313,0.897
2314,0.9
2315,0.903
2316,0.906
2317,0.909
2318,0.912
2319,0.915
2320,0.918
2321,0.921
2322,0.924
2323,0.927
2324,0.93
2325,0.933
2326,0.936
2327,0.939
2328,0.942
2329,0.945
2330,0.948
2331,0.951
2332,0.954
2333,0.957
2334,0.96
2335,0.963
2336,0.966
2337,0.969
2338,0.972
2339,0.975
2340,0.978
2341,0.981
2342,0.984
2343,0.987
2344,0.99
2345,0.993
2346,0.996
2347,0.999
2348,1.002
2349,1.005
2350,1.008
2351,1.011
2352,1.014
2353,1.017
2354,1.02
2355,1.023
2356,1.026
2357,1.029
2358,1.032
2359,1.035
2360,1.038
2361,1.041
2362,1.044
2363,1.047
2364,1.05
2365,1.053
2366,1.056
2367,1.059
2368,1.062
2369,1.065
2370,1.068
2371,1.071
2372,1.074
2373,1.077
2374,1.08
2375,1.083
2376,1.086
2377,1.089
2378,1.092
2379,1.095
2380,1.098
2381,1.101
2382,1.104
2383,1.107
2384,1.11
2385,1.113
2386,1.116
2387,1.119
2388,1.122
2389,1.125
2390,1.128
2391,1.131
2392,1.134
2393,1.137
2394,1.14
2395,1.143
2396,1.146
2397,1.149
2398,1.152
2399,1.155
2400,1.158
2401,1.161
2402,1.164
2403,1.167
2404,1.17
2405,1.173
2406,1.176
2407,1.179
2408,1.182
2409,1.185
2410,1.188
2411,1.191
2412,1.194
2413,1.197
2414,1.2
2415,1.203
2416,1.206
2417,1.209
2418,1.212
2419,1.215
2420,1.218
2421,1.221
2422,1.224
2423,1.227
2424,1.23
2425,1.233
2426,1.236
2427,1.239
2428,1.242
2429,1.245
2430,1.248
2431,1.251
2432,1.254
2433,1.257
2434,1.26
2435,1.263
2436,1.266
2437,1.269
2438,1.272
2439,1.275
2440,1.278
2441,1.281
2442,1.284
2443,1.287
2444,1.29
2445,1.293
2446,1.296
2447,1.299
2448,1.302
2449,1.305
2450,1.308
2451,1.311
2452,1.314
2453,1.317
2454,1.32
2455,1.323
2456,1.326
2457,1.329
2458,1.332
2459,1.335
2460,1.338
2461,1.341
2462,1.344
2463,1.347
2464,1.35
2465,1.353
2466,1.356
2467,1.359
2468,1.362
2469,1.365
2470,1.368
2471,1.371
2472,1.374
2473,1.377
2474,1.38
2475,1.383
2476,1.386
2477,1.389
2478,1.392
2479,1.395
2480,1.398
2481,1.401
2482,1.404
2483,1.407
2484,1.41
2485,1.413
2486,1.416
2487,1.419
2488,1.422
2489,1.425
2490,1.428
2491,1.431
2492,1.434
2493,1.437
2494,1.44
2495,1.443
2496,1.446
2497,1.449
2498,1.452
2499,1.455
2500,1.458
2501,1.461
2502,1.464
2503,1.467
2504,1.47
2505,1.473
2506,1.476
2507,1.479
2508,1.482
2509,1.485
2510,1.488
2511,1.491
2512,1.494
2513,1.497
2514,1.5
2515,1.503
2516,1.506
2517,1.509
2518,1.512
2519,1.515
2520,1.518
2521,1.521
2522,1.524
2523,1.527
2524,1.53
2525,1.533
2526,1.536
2527,1.539
2528,1.542
2529,1.545
2530,1.548
2531,1.551
2532,1.554
2533,1.557
2534,1.56
2535,1.563
2536,1.566
2537,1.569
2538,1.572
2539,1.575
2540,1.578
2541,1.581
2542,1.584
2543,1.587
2544,1.59
2545,1.593
2546,1.596
2547,1.599
2548,1.602
2549,1.605
2550,1.608
2551,1.611
2552,1.614
2553,1.617
2554,1.62
2555,1.623
2556,1.626
2557,1.629
2558,1.632
2559,1.635
2560,1.638
2561,1.641
2562,1.644
2563,1.647
2564,1.65
2565,1.653
2566,1.656
2567,1.659
2568,1.662
2569,1.665
2570,1.668
2571,1.671
2572,1.674
2573,1.677
2574,1.68
2575,1.683
